ep,reward,entropy,entropy_weight
0,-15.820991153488828,1.791759299999999,1.7916748812415857
500,-15.266394071391922,1.791151299999999,1.7493871476569434
1000,-14.80113016616801,1.7899314999999993,1.7071219827332753
1500,-14.397565866949675,1.7878670000000008,1.6648951365092053
2000,-13.81655855687381,1.7848012000000009,1.6227372667887492
2500,-13.258457718947044,1.7815294000000002,1.5806567132392224
3000,-12.831676841821379,1.7774849000000004,1.5386663477876488
3500,-12.39116906953163,1.773366100000001,1.4967721218505203
4000,-11.716485995046261,1.768017599999999,1.4549937593677327
4500,-11.208419157764846,1.7617572999999997,1.4133807070055278
5000,-10.753229229010415,1.7557818999999997,1.371903601012496
5500,-10.310837404999706,1.7478500000000001,1.3306036425450118
6000,-9.674213262951602,1.7383712999999998,1.2895301756420405
6500,-9.184556218411501,1.7290940000000004,1.2486724234679027
7000,-8.761881435118813,1.7205861000000002,1.208044068131714
7500,-8.180604185149468,1.7089155,1.1676701351323413
8000,-7.769821526239847,1.6985813000000003,1.127576657895116
8500,-7.417921190438262,1.6875117,1.087780956731108
9000,-6.920424641969701,1.6748326000000002,1.0482516953923968
9500,-6.499341152656691,1.6614412,1.009058694724108
10000,-6.207022912431297,1.650312400000001,0.9701468175151606
10500,-5.8598798577072975,1.6352815999999994,0.9315806602576038
11000,-5.571528376275235,1.6231298000000005,0.8933656346776753
11500,-5.23355211630986,1.610753200000001,0.8554906849303514
12000,-4.946334639693362,1.595534299999999,0.8179113001444618
12500,-4.61820053665146,1.576468500000001,0.7807764349022185
13000,-4.408526005285919,1.564692699999999,0.7439991226949961
13500,-4.2095429095995405,1.547747900000001,0.7076422132888118
14000,-3.9312453409978296,1.5307518000000009,0.6716787168600836
14500,-3.6329099708457444,1.5122673999999998,0.6361296294727607
15000,-3.433238635887398,1.4934707999999994,0.601051978907851
15500,-3.1804312012698577,1.4709426999999997,0.5664929458477763
16000,-2.9748948712338636,1.4523466,0.5324804417886996
16500,-2.726127395186752,1.4336380000000004,0.49887128697421745
17000,-2.5645405575170512,1.4142716,0.46577832126405455
17500,-2.3694931174740503,1.3885477,0.43319457778122616
18000,-2.1005729643084803,1.3697819,0.40121875481989566
18500,-1.9165706645552967,1.3491032000000003,0.3696984334924476
19000,-1.7290402632477966,1.328072,0.3387373694994703
19500,-1.6535452908715476,1.3125285999999998,0.30817636574294716
20000,-1.5544652124387455,1.2910906999999994,0.278155023042227
20500,-1.4310504052367217,1.2687216000000001,0.24862876226093855
21000,-1.287760798900973,1.2485876,0.21969668591406433
21500,-1.1660648601071264,1.2236573,0.19132084740784244
22000,-1.0419059580328465,1.2068960000000002,0.16345227386739317
22500,-0.9377541726715952,1.1848079999999999,0.1360903832354789
23000,-0.8509880139096296,1.1583743999999998,0.1093300983586554
23500,-0.7436076188928518,1.133024,0.08318781587269351
24000,-0.6254198323653204,1.1027797,0.05774290465500405
24500,-0.5606686567297504,1.0839702000000002,0.032933746025825134
25000,-0.5051641522714767,1.0591779,0.01
25500,-0.45976880159004824,1.0477922999999996,0.01
26000,-0.35592086173418325,1.0150911000000002,0.01
26500,-0.32558164464867784,0.9898780600000002,0.01
27000,-0.28729488431567174,0.9808999300000002,0.01
27500,-0.26787761458601533,0.96442074,0.01
28000,-0.24730669576641628,0.93556994,0.01
28500,-0.20284908737290955,0.9114545999999998,0.01
29000,-0.18675468200771728,0.8824888500000003,0.01
29500,-0.17155248742796395,0.8600416000000005,0.01
30000,-0.14753539213189368,0.8414823000000007,0.01
30500,-0.13789220444830905,0.8263539000000001,0.01
31000,-0.12366164406780637,0.7993524999999995,0.01
31500,-0.11356575136242152,0.7717894000000004,0.01
32000,-0.08072671352674168,0.7560288999999996,0.01
32500,-0.05508929436824519,0.7394663700000003,0.01
33000,-0.04270674192998981,0.7215977999999997,0.01
33500,-0.023001422974803627,0.6965909,0.01
34000,-0.01389596434209446,0.6815513399999996,0.01
34500,0.0022763401645471007,0.6575709600000003,0.01
35000,0.01127509364358531,0.6511537400000001,0.01
35500,0.023220374521123313,0.6337861000000002,0.01
36000,0.03272753361081885,0.6236988299999998,0.01
36500,0.054391347096117,0.6048773499999999,0.01
37000,0.06204098780399223,0.5785294999999999,0.01
37500,0.06574626912643727,0.5672494000000003,0.01
38000,0.07403041325358231,0.5600593700000002,0.01
38500,0.07909291949736315,0.5473384000000002,0.01
39000,0.08893996059915812,0.5315334000000002,0.01
39500,0.10191544592195079,0.5139681699999997,0.01
40000,0.1063177198880487,0.49935642000000013,0.01
40500,0.10720174745772205,0.49172580000000016,0.01
41000,0.1083704618718665,0.4849494699999998,0.01
41500,0.12907280873288832,0.4693311000000001,0.01
42000,0.13047376767804864,0.4600630000000002,0.01
42500,0.1331408339051988,0.45284578,0.01
43000,0.14581247566760153,0.42698624999999973,0.01
43500,0.1610982578731257,0.40974140000000026,0.01
44000,0.16494224040025238,0.4007746999999999,0.01
44500,0.16681518016650948,0.38593350000000004,0.01
45000,0.16868811993276658,0.37927273000000006,0.01
45500,0.16841841660642556,0.37649813000000026,0.01
46000,0.17651808924806658,0.3647367400000001,0.01
46500,0.17764934486688594,0.36243766999999977,0.01
47000,0.1808233199979826,0.35250466999999996,0.01
47500,0.1817972486764363,0.34407802999999987,0.01
48000,0.18627265597482623,0.33676555999999996,0.01
48500,0.18780097482409205,0.32633590000000007,0.01
49000,0.1890745738651469,0.3184026000000001,0.01
49500,0.19198686039259652,0.3045112500000001,0.01
50000,0.19356012979625248,0.29699521999999984,0.01
50500,0.20118774522582047,0.28639944999999983,0.01
51000,0.20244636074874528,0.27715146999999996,0.01
51500,0.2029183415698421,0.27423853,0.01
52000,0.20439421810565267,0.2666637600000001,0.01
52500,0.20598247102743872,0.2599989800000001,0.01
53000,0.20728603710475368,0.25062335,0.01
53500,0.20742088876792422,0.24833883000000007,0.01
54000,0.20762316626268,0.24660410999999996,0.01
54500,0.20859709494113368,0.24210204000000002,0.01
55000,0.2088667982674747,0.23950770000000013,0.01
55500,0.2129342933819298,0.2299695499999999,0.01
56000,0.21333884837144132,0.22653534,0.01
56500,0.22857735208204344,0.22047663000000006,0.01
57000,0.2297017341259399,0.21649588999999986,0.01
57500,0.23043592651431266,0.21442573999999984,0.01
58000,0.2311401518664254,0.20890578999999992,0.01
58500,0.23161213268752215,0.20141770999999986,0.01
59000,0.2325479338517502,0.19471934000000005,0.01
59500,0.232750211346506,0.19604728,0.01
60000,0.23319971689040772,0.1898450300000001,0.01
60500,0.23380654937467502,0.1842784099999999,0.01
61000,0.2336716977115045,0.18503907000000003,0.01
61500,0.2346456263899582,0.17802698999999994,0.01
62000,0.23524496711516046,0.17803909999999998,0.01
62500,0.23558209627308677,0.17134897000000004,0.01
63000,0.23591922543101307,0.16959887999999992,0.01
63500,0.23544724460991628,0.174156,0.01
64000,0.23531239294674577,0.17403952999999997,0.01
64500,0.23558209627308677,0.17045332,0.01
65000,0.23591922543101307,0.16793831999999997,0.01
65500,0.23659348374686562,0.16133756999999999,0.01
66000,0.2368631870732067,0.15962470000000004,0.01
66500,0.23740259372588868,0.15432930999999994,0.01
67000,0.23740259372588868,0.15384643999999995,0.01
67500,0.23760487122064447,0.14995107,0.01
68000,0.23785209926979042,0.15081774999999997,0.01
68500,0.23812180259613144,0.14673482999999996,0.01
69000,0.23919312414243055,0.14221141999999998,0.01
69500,0.2393954016371863,0.14077183999999995,0.01
70000,0.2393954016371863,0.13994049,0.01
70500,0.23959767913194205,0.13742685000000002,0.01
